__UBIGEO__,__NOMBRE__,mean
160804,YAGUAS,22.973618165377914
160704,MORONA,22.952683326252345
160401,RAMON CASTILLA,22.926579874517635
160404,SAN PABLO,22.88748034377771
160705,PASTAZA,22.87079380654
160402,PEBAS,22.836468319801934
160105,LAS AMAZONAS,22.76209972750756
160801,PUTUMAYO,22.742785560352175
160101,IQUITOS,22.722596486409504
240302,AGUAS VERDES,22.709638595581055
160104,INDIANA,22.698645869168367
160206,LAGUNAS,22.694449014663697
160403,YAVARI,22.68669105643657
160108,PUNCHANA,22.665259883088886
160305,URARINAS,22.645239785138298
